mth,lusa_band,current_to_30_roll_rate,30_to_60_roll_rate,60_to_90_roll_rate,90_to_120_roll_rate,120_to_150_roll_rate,150_to_180_roll_rate,Provision_rate_current,Provision_rate_0_to_30,Provision_rate_30_to_60,Provision_rate_60_to_90,Provision_rate_90_to_120,Provision_rate_120_to_150
7,350,0.136206313,0.357658023,0.721800239,0.909957006,0.892822347,0.969845302,0.027151679,0.199342298,0.55735447,0.772172743,0.848581568,0.950448396
7,400,0.121981057,0.440398541,0.714938759,0.924530091,0.905127852,0.975425084,0.030722608,0.251863763,0.571899632,0.799928141,0.865226723,0.955916582
7,450,0.113688625,0.386566739,0.722888781,0.893600109,0.949887862,0.966456412,0.02554094,0.224656954,0.581159556,0.803940483,0.89966471,0.947127284
7,500,0.110758575,0.415571079,0.660608882,0.803959403,0.963697656,0.962885831,0.022230175,0.200708385,0.482970052,0.731098332,0.909372202,0.943628114
7,550,0.107514102,0.372866876,0.70739969,0.892096407,0.941505226,0.976548687,0.022794948,0.212018214,0.568616381,0.80381203,0.901037178,0.957017713
7,600,0.092994406,0.397724442,0.716262728,0.919242337,0.920938805,0.960227305,0.021104369,0.226942352,0.570601975,0.796637815,0.866624374,0.941022759
7,650,0.082565842,0.373898755,0.685483645,0.885930762,0.957189609,0.969270847,0.017045923,0.206452478,0.552161448,0.805506378,0.909220464,0.94988543
7,700,0.071832821,0.349377426,0.668362586,0.908032113,0.967580432,0.953517101,0.01377123,0.191712229,0.54872529,0.820999412,0.904152398,0.934446759
7,750,0.06467022,0.302427151,0.67278237,0.913907394,0.950119993,0.987488848,0.011057034,0.170975666,0.565344961,0.840308822,0.919468239,0.967739071
7,800,0.053445117,0.306519066,0.724624639,0.904265555,0.959032145,0.959690352,0.009681998,0.181157762,0.591016293,0.815617164,0.901966419,0.940496545
7,850,0.043103416,0.294003546,0.672554365,0.86697583,0.962970309,0.913620784,0.006370941,0.147805944,0.502735241,0.747501268,0.862193895,0.895348368
7,900,0.034687991,0.273209196,0.707426446,0.924066233,0.939638845,0.954378443,0.005444607,0.156959412,0.574502669,0.812102337,0.878835637,0.935290875
7,950,0.024061384,0.238679279,0.566537055,0.788921333,0.988884973,0.985876595,0.002452402,0.101922753,0.427028076,0.753751361,0.955420179,0.966159063
8,0,0.132902262,0.421384352,0.780477441,0.938394539,0.968089882,0.975431904,0.037957301,0.285603118,0.677773431,0.868408739,0.925419642,0.955923266
